ForagingGround,Species,CCL_cm,CCW_cm,Weight_Kg,CalendarWeek
Creek,Species_5,53.1,49.0,18.0,9
Ocean,Species_6,28.4,27.8,2.5,36
Creek,Species_5,44.8,43.2,10.672,13
Creek,Species_5,47.7,44.2,13.196000000000002,23
Ocean,Species_6,32.7,30.0,3.21,50
Creek,Species_5,44.2,41.1,11.5,1
Creek,Species_5,40.2,39.3,7.85,45
Creek,Species_6,41.27,38.37,8.906,26
Creek,Species_5,60.9,52.1,22.6,33
Creek,Species_5,43.5,42.0,11.5,3
Creek,Species_5,40.0,39.6,8.55,35
Ocean,Species_5,74.6,66.9,45.0,33
Creek,Species_5,33.5,32.2,4.49,44
Creek,Species_5,47.0,44.9,13.116,12
Ocean,Species_5,31.97,30.33,4.23,49
Creek,Species_5,52.4,48.0,16.632,22
Creek,Species_5,41.3,39.8,9.64,8
Creek,Species_5,46.3,41.6,12.62,38
Ocean,Species_5,29.4,28.0,3.06,10
Creek,Species_5,41.5,38.1,8.392,17
Ocean,Species_6,34.2,30.1,7.0,12
Ocean,Species_5,49.3,46.8,14.406,38
Ocean,Species_5,47.5,44.4,12.95,19
Creek,Species_5,39.4,38.3,7.534000000000001,21
Creek,Species_5,48.3,44.6,15.5,0
Creek,Species_5,35.0,33.6,6.1,49
Creek,Species_6,34.6,31.5,5.0,37
Ocean,Species_6,39.7,38.0,8.21,17
Creek,Species_5,57.2,54.2,23.880000000000003,43
Ocean,Species_6,37.4,35.0,7.0,48
Ocean,Species_6,34.0,32.3,5.28,46
Ocean,Species_5,33.1,33.2,4.04,49
Creek,Species_6,31.43,28.8,4.18,47
Creek,Species_6,38.9,36.3,5.78,17
Ocean,Species_6,40.8,37.3,6.59,9
Creek,Species_6,39.1,37.3,6.25,16
Creek,Species_5,52.6,48.7,18.0,47
Creek,Species_5,53.2,49.3,16.5,48
Creek,Species_5,56.8,51.4,22.5,0
Ocean,Species_5,36.7,34.3,6.5,42
Creek,Species_5,56.4,49.7,21.5,41
Ocean,Species_6,37.4,34.1,6.01,39
Creek,Species_5,43.5,41.0,9.896,46
Creek,Species_5,62.5,53.5,26.288,36
Ocean,Species_6,61.6,57.5,22.7,51
Creek,Species_5,51.4,46.3,15.5,50
Creek,Species_5,42.7,41.6,9.594000000000001,28
Ocean,Species_5,73.49,67.03,49.5,49
Creek,Species_5,38.4,38.2,8.1,42
Creek,Species_5,40.2,38.1,7.8,43
Creek,Species_5,62.3,57.0,30.5,14
Creek,Species_6,28.13,25.97,2.57,34
Creek,Species_5,46.9,44.8,12.25,18
Creek,Species_5,40.5,37.0,7.9,11
Ocean,Species_6,35.6,35.23,4.98,48
Creek,Species_5,38.87,38.13,6.46,41
Creek,Species_5,41.5,38.7,8.75,3
Ocean,Species_6,44.3,40.0,10.254000000000001,44
Creek,Species_6,31.7,29.2,4.0,18
Creek,Species_6,36.3,33.0,5.92,39
Ocean,Species_5,42.0,43.2,9.456,28
Ocean,Species_5,46.9,43.1,11.49,15
Ocean,Species_5,40.0,39.8,7.81,19
Ocean,Species_5,56.0,54.1,24.5,6
Creek,Species_5,42.9,42.1,8.459999999999999,47
Creek,Species_5,53.8,50.5,15.0,43
Creek,Species_5,51.4,46.3,17.0,19
Creek,Species_6,39.9,36.4,4.8,51
Ocean,Species_6,36.9,34.3,5.28,15
Creek,Species_5,49.0,47.0,19.918,34
Ocean,Species_5,42.6,42.0,8.962,13
Ocean,Species_5,41.3,41.1,8.5,12
Ocean,Species_5,44.9,41.9,10.8,15
Creek,Species_5,37.3,36.6,6.14,50
Creek,Species_5,56.7,54.3,21.862000000000002,37
Creek,Species_5,47.9,46.2,11.778,48
Creek,Species_6,29.5,27.4,2.846,16
Ocean,Species_5,64.2,58.2,32.0,24
Ocean,Species_4,93.5,84.93,99.0,22
Ocean,Species_6,56.4,51.4,23.5,5
Creek,Species_5,42.6,39.8,8.826,34
Ocean,Species_5,34.6,33.2,4.746,14
Creek,Species_5,48.5,46.1,13.940000000000001,39
Creek,Species_5,58.9,54.7,26.0,17
Ocean,Species_6,45.6,41.5,11.81,38
Creek,Species_5,46.7,45.6,13.01,9
Ocean,Species_5,43.5,40.7,9.7,31
Creek,Species_6,74.0,70.7,47.58,20
Creek,Species_5,43.8,41.3,10.0,26
Creek,Species_6,28.5,27.0,2.06,7
Creek,Species_5,46.27,42.5,12.39,10
Ocean,Species_5,48.8,45.8,14.134,37
Creek,Species_5,49.9,43.7,17.21,49
Ocean,Species_6,34.4,30.8,5.5,47
Ocean,Species_5,62.9,58.2,27.815999999999995,34
Creek,Species_6,39.4,37.6,7.65,0
Creek,Species_5,38.5,37.5,7.89,38
Ocean,Species_6,37.37,34.3,6.11,49
Creek,Species_5,56.1,50.5,20.53,52
Creek,Species_5,48.0,44.5,12.69,8
Creek,Species_5,79.6,73.4,58.7,33
Creek,Species_5,43.4,42.0,9.368,44
Ocean,Species_6,33.0,31.2,3.7,0
Creek,Species_6,65.23,59.23,27.2,39
Creek,Species_5,45.0,41.9,11.638,6
Ocean,Species_5,36.6,35.6,5.5,33
Creek,Species_6,57.6,50.0,18.2,48
Creek,Species_5,44.2,43.4,10.678,42
Ocean,Species_6,39.4,34.6,7.5,46
Creek,Species_5,42.0,39.9,9.004,48
Creek,Species_5,74.5,68.3,49.612,34
Creek,Species_5,44.0,42.5,10.186,49
Creek,Species_5,40.5,37.9,9.16,20
Creek,Species_5,39.1,37.1,7.3,23
Creek,Species_5,68.8,61.2,38.936,38
Ocean,Species_5,47.33,48.33,13.41,32
Creek,Species_5,47.8,45.3,12.946000000000002,21
Ocean,Species_5,40.67,41.57,7.65,48
Ocean,Species_6,50.5,46.2,14.92,32
Ocean,Species_5,51.6,46.4,15.5,47
Ocean,Species_5,34.0,32.3,6.5,1
Creek,Species_5,51.0,45.0,14.5,41
Ocean,Species_5,56.3,50.3,21.214,44
Ocean,Species_6,33.2,31.2,5.36,50
Ocean,Species_6,55.4,47.7,12.5,43
Ocean,Species_5,43.7,42.9,11.036,39
Creek,Species_5,43.6,41.2,10.040000000000001,39
Creek,Species_5,55.3,51.6,19.5,37
Creek,Species_5,39.7,37.3,7.648000000000001,1
Creek,Species_5,46.0,46.0,12.886,45
Ocean,Species_6,36.8,32.3,5.25,39
Creek,Species_5,65.3,57.5,30.832,8
Creek,Species_5,43.5,40.0,10.1,24
Creek,Species_5,44.5,42.4,11.15,11
Creek,Species_6,28.8,26.3,2.67,27
Creek,Species_5,35.3,34.5,4.837999999999999,52
Creek,Species_5,48.1,42.7,10.5,22
Creek,Species_5,36.0,33.9,5.15,11
Creek,Species_5,45.7,41.1,10.2,4
Ocean,Species_5,43.1,42.3,10.5,29
Ocean,Species_5,29.3,27.3,3.5,27
Ocean,Species_5,44.8,39.1,8.35,36
Creek,Species_5,44.3,42.3,10.0,32
Creek,Species_5,49.7,45.0,16.26,46
Ocean,Species_6,35.7,32.9,4.6,35
Creek,Species_5,40.2,39.9,8.532,25
Ocean,Species_6,35.7,31.4,4.42,19
Ocean,Species_6,52.6,45.9,13.7,16
Creek,Species_5,44.5,38.5,10.5,48
Creek,Species_5,48.0,44.5,14.0,17
Creek,Species_5,43.4,42.4,10.0,45
Ocean,Species_6,32.4,28.4,3.4,30
Creek,Species_6,31.5,31.8,5.5,42
Creek,Species_5,45.0,42.8,10.457999999999998,39
Creek,Species_5,38.4,37.5,6.55,30
Creek,Species_5,42.8,42.2,10.5,39
Creek,Species_6,37.4,33.4,5.715999999999999,33
Ocean,Species_6,33.5,31.5,5.0,44
Creek,Species_6,36.0,33.3,5.23,5
Creek,Species_6,31.7,30.2,5.6,1
Ocean,Species_6,35.0,33.2,4.82,48
Ocean,Species_5,46.4,42.7,13.0,20
Creek,Species_6,32.3,29.5,3.65,35
Creek,Species_6,32.5,30.2,6.0,8
Creek,Species_5,45.5,43.7,11.23,6
Creek,Species_5,43.5,41.4,14.7,41
Creek,Species_5,61.0,58.7,29.5,8
Ocean,Species_6,27.7,27.1,2.4,29
Ocean,Species_6,39.9,37.5,7.4,26
Ocean,Species_5,39.1,37.5,6.57,44
Creek,Species_6,39.5,35.8,6.5,32
Creek,Species_5,45.9,44.2,11.94,22
Creek,Species_5,38.9,38.1,7.224000000000001,48
Creek,Species_5,73.0,62.0,36.5,8
Creek,Species_5,41.3,38.5,8.6,14
Creek,Species_5,56.5,52.0,21.534,26
Creek,Species_5,42.3,40.0,8.856,50
Creek,Species_5,74.4,65.0,46.54,16
Ocean,Species_6,39.3,35.4,6.52,44
Ocean,Species_5,34.8,33.0,5.07,49
Creek,Species_5,67.0,61.6,35.0,21
Creek,Species_5,40.0,36.5,7.61,42
Ocean,Species_5,49.4,45.7,14.9,45
Creek,Species_5,52.5,47.1,16.98,30
Ocean,Species_6,32.3,31.0,3.5,34
Creek,Species_5,41.4,39.5,7.5,39
Ocean,Species_6,44.8,39.2,10.0,44
Creek,Species_6,43.0,39.0,10.83,27
Ocean,Species_6,32.8,30.2,3.5159999999999996,50
Ocean,Species_5,40.7,38.6,8.174,39
Creek,Species_5,49.95,44.8,15.4,50
Creek,Species_5,50.8,49.3,16.052,14
Ocean,Species_6,38.9,36.0,5.3,5
Creek,Species_5,45.2,40.8,10.953999999999999,8
Creek,Species_5,60.8,56.8,25.445999999999998,51
Creek,Species_6,38.8,35.7,6.36,39
Creek,Species_5,45.5,41.0,11.616,46
Creek,Species_5,44.6,46.9,11.556000000000001,24
Ocean,Species_6,32.0,29.2,4.36,31
Creek,Species_5,38.1,36.83,6.720000000000001,12
Creek,Species_6,30.4,27.6,3.66,47
Creek,Species_5,45.6,41.3,12.0,20
Creek,Species_5,36.0,34.2,4.87,48
Creek,Species_5,43.0,39.7,9.29,20
Creek,Species_5,30.63,30.93,4.05,41
Creek,Species_5,50.8,45.4,15.394,32
Ocean,Species_6,68.1,62.4,41.0,11
Ocean,Species_6,48.57,44.47,11.88,49
Ocean,Species_6,32.5,30.2,3.87,48
Creek,Species_5,49.5,44.6,15.0,29
Creek,Species_5,43.5,41.9,9.5,21
Creek,Species_5,33.7,33.9,5.34,10
Ocean,Species_5,40.0,37.6,7.5,46
Creek,Species_5,47.2,45.8,12.716,13
Creek,Species_5,44.0,40.3,9.53,13
Creek,Species_6,33.3,32.2,4.57,3
Creek,Species_5,41.1,40.1,8.565999999999999,48
Creek,Species_5,44.2,38.9,9.33,48
Ocean,Species_5,35.0,33.3,5.5,44
Ocean,Species_6,38.6,34.8,6.4,45
Ocean,Species_6,39.0,36.0,6.99,31
Ocean,Species_6,35.3,33.3,4.92,38
Ocean,Species_6,33.7,32.73,4.38,6
Ocean,Species_5,42.2,41.0,9.5,12
Creek,Species_5,38.7,38.1,7.13,49
Creek,Species_5,59.8,56.4,27.5,43
Ocean,Species_6,34.5,31.3,3.78,7
Creek,Species_5,39.3,36.5,7.647999999999999,25
Creek,Species_5,48.7,46.4,14.5,6
Creek,Species_5,63.7,60.8,30.906,10
Ocean,Species_6,34.0,32.0,5.362,38
Creek,Species_6,37.93,35.9,6.22,47
Creek,Species_5,40.3,39.5,7.51,48
Ocean,Species_6,54.2,50.4,17.8,33
Creek,Species_5,44.0,41.5,10.0,13
Creek,Species_6,29.7,26.5,2.03,8
Creek,Species_6,28.2,25.0,3.17,28
Ocean,Species_6,42.0,38.6,11.0,9
Creek,Species_5,56.4,52.8,21.972,48
Creek,Species_6,35.8,32.8,4.9,15
Creek,Species_4,72.3,68.2,43.754000000000005,27
Creek,Species_6,32.2,31.7,3.76,35
Ocean,Species_5,41.4,41.0,8.9,40
Creek,Species_5,36.6,36.5,6.0520000000000005,9
Ocean,Species_6,34.8,34.0,5.5,45
Ocean,Species_6,53.4,51.4,19.6,48
Creek,Species_6,43.6,38.4,8.7,25
Creek,Species_5,43.6,42.0,9.8,12
Ocean,Species_6,42.1,38.1,8.66,27
Ocean,Species_6,37.4,33.0,5.52,49
Ocean,Species_6,30.2,27.1,2.32,12
Ocean,Species_5,46.5,45.0,15.5,33
Creek,Species_5,67.6,60.2,35.208,13
Creek,Species_5,45.8,44.5,11.7,42
Creek,Species_5,45.63,42.7,11.17,44
Ocean,Species_5,42.7,39.6,9.8,46
Creek,Species_5,46.7,46.3,13.1,14
Creek,Species_5,50.6,47.1,15.28,13
Ocean,Species_5,40.0,37.2,7.89,39
Creek,Species_5,56.6,52.0,23.5,8
Ocean,Species_5,46.0,42.2,10.7,17
Ocean,Species_6,38.2,35.9,6.41,40
Ocean,Species_6,35.97,33.2,4.99,31
Ocean,Species_6,33.3,31.2,3.7,15
Creek,Species_6,32.5,30.1,4.43,17
Creek,Species_5,39.1,39.3,5.7,0
Creek,Species_6,30.6,28.0,3.02,23
Creek,Species_5,54.7,49.6,18.0,7
Creek,Species_5,45.0,42.4,11.11,24
Creek,Species_6,31.96,26.83,3.11,39
Ocean,Species_6,32.2,30.0,4.0,23
Ocean,Species_6,32.4,36.5,4.2,47
Ocean,Species_6,65.0,60.1,30.95,13
Creek,Species_5,45.5,41.5,11.518,47
Creek,Species_5,40.6,39.4,8.026,14
Creek,Species_5,35.0,35.0,5.21,16
Ocean,Species_6,34.0,30.0,4.0,40
Ocean,Species_6,30.2,28.7,3.056,30
Ocean,Species_6,32.9,29.9,3.678,37
Creek,Species_6,28.3,26.6,2.05,44
Ocean,Species_5,40.0,36.3,7.083999999999999,5
Creek,Species_5,45.13,40.0,12.11,36
Creek,Species_5,54.8,51.4,18.86,45
Ocean,Species_6,45.5,32.5,11.104,50
Ocean,Species_6,39.8,38.1,6.898000000000001,16
Creek,Species_5,73.5,67.2,47.4,38
Creek,Species_5,41.6,41.9,9.1,49
Creek,Species_6,30.3,29.6,4.36,31
Creek,Species_6,37.2,33.0,6.0,45
Creek,Species_6,42.4,40.0,7.62,27
Creek,Species_5,50.3,45.1,15.5,19
Ocean,Species_6,43.6,40.0,8.11,44
Ocean,Species_6,36.1,33.6,6.0,47
Creek,Species_6,45.8,43.7,11.16,31
Ocean,Species_6,33.1,30.6,4.33,42
Creek,Species_5,60.7,54.7,28.5,8
Ocean,Species_6,40.8,39.0,8.1,36
Ocean,Species_6,39.2,36.1,8.5,45
Creek,Species_6,28.8,25.5,1.81,1
Creek,Species_6,40.6,36.8,7.6,49
Ocean,Species_5,38.9,37.8,7.26,43
Creek,Species_5,46.5,42.4,12.034,48
Ocean,Species_6,37.6,36.0,6.0,37
Creek,Species_5,57.5,52.3,18.044,38
Ocean,Species_5,48.3,45.1,12.894,49
Ocean,Species_6,37.0,33.4,5.5,39
Ocean,Species_6,41.5,36.0,7.5,22
Creek,Species_5,45.0,43.3,11.296,39
Creek,Species_5,57.2,52.2,18.744,47
Ocean,Species_5,37.3,36.5,6.409999999999999,43
Creek,Species_5,58.55,53.5,21.2,49
Ocean,Species_6,32.2,30.6,3.964,33
Creek,Species_5,45.5,42.6,11.18,29
Creek,Species_5,57.1,50.3,20.09,25
Ocean,Species_6,45.3,41.9,10.9,0
Ocean,Species_5,38.0,38.0,6.456,37
Ocean,Species_6,33.4,31.3,4.95,21
Creek,Species_5,40.77,38.73,7.87,31
Creek,Species_5,47.4,53.0,21.48,35
Creek,Species_5,60.5,57.1,25.41,19
Creek,Species_6,46.2,40.4,11.63,7
Creek,Species_5,60.1,53.4,25.0,43
Creek,Species_5,40.67,38.97,7.91,41
Ocean,Species_6,30.4,27.3,3.34,28
Ocean,Species_5,40.2,40.0,9.5,46
Ocean,Species_6,34.4,33.9,5.5,37
Creek,Species_5,42.0,40.5,11.314,16
Ocean,Species_6,41.7,37.4,8.2,8
Ocean,Species_5,44.4,43.2,10.352,10
Creek,Species_6,32.1,29.9,4.5,38
Creek,Species_6,44.55,41.6,12.56,23
Creek,Species_5,34.2,32.9,4.89,30
Creek,Species_5,43.0,42.5,9.05,26
Creek,Species_5,43.8,41.8,10.27,26
Ocean,Species_5,33.7,33.0,5.5,42
Creek,Species_5,85.6,76.7,73.85,42
Creek,Species_5,47.3,45.9,12.815999999999999,8
Creek,Species_5,51.1,46.1,14.672,11
Ocean,Species_6,31.3,29.2,8.6,11
Creek,Species_5,39.9,37.7,7.2,35
Creek,Species_5,42.9,42.2,7.952000000000001,31
Creek,Species_5,33.6,30.1,4.0,41
Creek,Species_5,53.3,47.0,15.99,41
Creek,Species_5,40.9,37.2,8.5,30
Creek,Species_5,44.2,40.4,10.0,25
Ocean,Species_5,90.0,84.0,80.8,22
Ocean,Species_6,35.1,31.4,5.0,6
Ocean,Species_5,35.0,31.9,5.23,4
Creek,Species_5,32.7,32.2,4.5,41
Ocean,Species_5,57.2,53.0,23.0,40
Creek,Species_5,45.1,40.5,10.4,12
Ocean,Species_6,37.0,34.2,4.8,5
Creek,Species_5,42.2,40.4,9.0,18
Creek,Species_6,42.3,38.0,8.5,42
Creek,Species_5,44.5,42.1,10.309999999999999,30
Ocean,Species_6,39.2,36.2,5.98,41
Creek,Species_6,47.0,41.8,11.9,41
Ocean,Species_5,46.3,44.1,11.0,40
Ocean,Species_6,30.8,30.6,3.8,28
Creek,Species_5,46.5,43.0,12.614,32
Ocean,Species_6,28.8,27.2,4.0,15
Creek,Species_5,40.9,40.9,9.030000000000001,22
Creek,Species_5,34.5,34.3,5.25,12
Creek,Species_5,40.5,38.3,7.742,43
Creek,Species_5,42.6,41.7,9.122,25
Creek,Species_5,47.0,45.7,12.5,43
Ocean,Species_5,51.7,49.1,16.5,36
Creek,Species_6,28.67,26.6,2.95,49
Ocean,Species_5,38.8,40.1,6.3,49
Ocean,Species_5,29.5,29.0,4.09,23
Creek,Species_0,64.7,58.0,32.1,1
Creek,Species_6,33.83,35.83,6.19,46
Ocean,Species_6,41.1,40.4,8.82,6
Creek,Species_5,47.0,45.6,13.23,34
Creek,Species_5,37.3,33.9,6.278,45
Ocean,Species_6,39.8,36.1,7.314,39
Creek,Species_5,43.0,41.4,9.690000000000001,38
Creek,Species_6,34.7,33.0,4.7,0
Creek,Species_5,41.7,40.0,8.0,29
Creek,Species_6,37.0,36.1,6.86,42
Creek,Species_6,28.0,25.1,2.376,10
Creek,Species_5,40.8,38.2,8.05,9
Ocean,Species_6,30.1,27.7,3.04,0
Creek,Species_5,44.3,41.4,11.092,8
Creek,Species_5,70.8,64.0,36.1,47
Creek,Species_5,59.4,52.8,25.0,2
Ocean,Species_5,41.7,39.0,8.870000000000001,42
Creek,Species_6,31.0,27.8,3.02,24
Creek,Species_5,38.9,37.9,7.0,37
Ocean,Species_5,65.8,60.4,32.724000000000004,40
Ocean,Species_6,36.0,35.5,5.5,37
Creek,Species_5,44.6,40.2,10.68,33
Ocean,Species_5,77.1,71.1,52.839999999999996,32
Creek,Species_6,37.4,31.4,6.5,24
Ocean,Species_5,66.0,61.9,33.5,49
Creek,Species_5,45.23,43.8,11.89,5
Ocean,Species_6,34.53,32.33,4.58,9
Ocean,Species_5,38.0,37.0,7.08,51
Ocean,Species_5,51.2,46.5,15.02,1
Creek,Species_6,40.7,35.5,7.022,18
Creek,Species_5,70.2,61.4,36.25,19
Creek,Species_5,59.4,53.6,25.0,0
Creek,Species_6,32.2,29.9,4.14,32
Creek,Species_5,39.9,38.0,9.47,46
Creek,Species_5,33.3,32.9,4.0,46
Creek,Species_6,34.6,33.0,5.0,40
Creek,Species_5,44.2,41.0,9.82,34
Ocean,Species_6,45.2,42.4,10.56,33
Creek,Species_5,38.6,36.2,6.481999999999999,8
Creek,Species_5,41.0,39.2,9.1,33
Creek,Species_6,43.1,40.3,9.08,5
Creek,Species_6,37.0,36.0,6.55,29
Creek,Species_5,47.0,45.9,12.856,47
Creek,Species_5,41.3,41.2,8.776,39
Creek,Species_5,37.53,34.07,5.8,32
Creek,Species_6,32.4,32.4,4.91,19
Creek,Species_6,31.5,29.9,3.31,37
Creek,Species_6,33.1,30.8,3.7,3
Creek,Species_5,42.4,41.3,8.5,40
Ocean,Species_6,41.8,38.2,8.45,44
Ocean,Species_6,37.8,33.5,5.2,8
Creek,Species_6,32.5,31.0,4.1,41
Ocean,Species_6,28.0,26.6,3.0,16
Creek,Species_5,38.4,39.5,6.9879999999999995,29
Ocean,Species_6,32.6,29.9,4.042,6
Creek,Species_5,36.0,33.0,5.2,48
Creek,Species_6,30.1,27.6,4.0,20
Creek,Species_5,51.0,49.3,17.0,37
Ocean,Species_5,70.3,62.3,36.48,10
Ocean,Species_6,35.2,32.6,4.5,1
Ocean,Species_5,44.0,42.7,10.0,47
Ocean,Species_6,41.5,37.5,8.404,52
Ocean,Species_5,46.0,45.6,12.344,39
Creek,Species_5,40.0,38.0,7.65,16
Ocean,Species_6,31.77,29.07,3.59,29
Creek,Species_6,31.7,29.9,2.9,0
Ocean,Species_5,51.0,49.1,17.76,39
Creek,Species_6,32.9,31.0,4.0,29
Creek,Species_5,38.0,37.3,7.08,49
Creek,Species_5,43.9,41.3,10.486,31
Ocean,Species_6,42.2,39.8,10.0,17
Ocean,Species_5,34.3,32.2,5.5,3
Ocean,Species_6,41.5,37.5,8.1,51
Creek,Species_5,42.2,40.0,8.35,23
Creek,Species_5,37.7,35.7,7.5,4
Creek,Species_5,58.8,54.5,24.64,12
Creek,Species_5,45.4,44.1,10.906,47
Ocean,Species_5,40.0,39.0,7.4,32
Ocean,Species_6,45.0,40.0,10.3,46
Creek,Species_6,34.0,32.1,4.5,44
Creek,Species_6,33.1,29.1,3.95,17
Creek,Species_5,46.8,43.5,13.0,34
Ocean,Species_5,40.2,39.0,9.01,18
Creek,Species_5,41.5,39.4,7.8,18
Ocean,Species_6,36.2,34.12,7.57,15
Creek,Species_5,39.4,38.9,9.0,31
Creek,Species_6,46.6,39.7,11.854000000000001,47
Ocean,Species_6,34.87,33.83,4.22,49
Ocean,Species_6,36.47,33.0,5.01,49
Creek,Species_5,39.8,37.1,7.941999999999998,44
Creek,Species_6,41.3,36.1,7.5,14
Creek,Species_6,46.2,42.2,11.0,40
Ocean,Species_5,43.6,40.1,9.5,44
Creek,Species_5,45.0,43.2,11.622,46
Creek,Species_5,39.1,38.1,7.97,46
Creek,Species_5,42.2,39.4,9.0,6
Creek,Species_5,62.8,57.0,30.5,40
Ocean,Species_5,70.5,63.5,44.0,9
Ocean,Species_6,39.6,36.6,7.85,39
Ocean,Species_5,42.7,42.0,9.0,48
Creek,Species_5,64.5,58.3,30.5,2
Creek,Species_5,33.8,32.5,4.5,48
Creek,Species_5,63.0,56.1,28.5,43
Creek,Species_5,50.9,46.4,17.0,48
Ocean,Species_5,42.1,40.7,8.686,37
Creek,Species_5,71.8,64.2,38.715999999999994,8
Creek,Species_6,41.0,36.4,6.5,41
Ocean,Species_6,41.3,38.3,10.0,49
Ocean,Species_6,35.7,32.8,4.41,46
Ocean,Species_6,32.7,30.9,4.02,38
Creek,Species_5,41.6,39.0,8.644,25
Creek,Species_5,60.3,55.6,24.1,35
Creek,Species_6,51.27,47.33,15.7,30
Ocean,Species_5,40.2,38.6,8.78,32
Ocean,Species_6,41.8,40.0,8.2,18
Ocean,Species_5,36.2,35.8,5.2,39
Creek,Species_5,44.1,39.9,9.8,24
Creek,Species_5,41.1,39.7,8.16,32
Ocean,Species_5,36.3,35.4,6.22,44
Creek,Species_6,40.3,36.7,7.26,51
Creek,Species_5,44.9,45.0,10.1,48
Creek,Species_5,38.2,36.2,6.46,41
Creek,Species_6,32.9,30.4,4.16,15
Creek,Species_5,40.4,39.2,10.0,1
Creek,Species_5,62.7,55.5,19.46,47
Ocean,Species_6,43.2,38.0,12.0,14
Creek,Species_5,48.0,44.0,12.37,37
Creek,Species_5,40.9,38.0,8.5,1
Creek,Species_5,67.0,61.2,35.5,20
Ocean,Species_5,44.1,43.1,9.85,11
Creek,Species_6,39.5,36.5,5.69,43
Ocean,Species_6,31.3,26.9,3.47,39
Ocean,Species_6,44.7,41.1,11.27,7
Creek,Species_5,49.4,46.8,14.1,9
Creek,Species_6,25.3,24.8,1.88,34
Ocean,Species_5,58.3,55.0,21.6,45
Ocean,Species_6,63.6,56.1,29.474,13
Creek,Species_5,61.7,50.8,30.3,49
Ocean,Species_6,35.4,30.4,4.1,11
Ocean,Species_5,43.7,42.2,9.25,38
Ocean,Species_6,34.9,32.7,4.54,19
Creek,Species_5,41.0,39.5,8.51,21
Creek,Species_5,49.2,46.1,13.348000000000003,19
Ocean,Species_6,32.1,31.1,4.8,18
Ocean,Species_5,41.1,39.8,7.81,36
Creek,Species_5,42.0,41.3,10.5,47
Creek,Species_5,59.2,54.6,24.830000000000002,2
Creek,Species_6,34.7,31.6,5.19,36
Ocean,Species_6,34.3,33.1,4.5,40
Creek,Species_6,38.2,35.7,6.6,4
Creek,Species_6,4.5,4.0,0.10000000000000002,19
Creek,Species_5,39.5,38.0,7.802,48
Ocean,Species_5,47.2,45.3,11.5,6
Creek,Species_6,33.7,30.2,5.4,4
Creek,Species_6,32.0,30.2,3.8,41
Creek,Species_6,46.5,40.7,10.7,11
Creek,Species_5,44.7,41.6,10.55,12
Creek,Species_5,39.7,38.8,8.102,41
Ocean,Species_5,46.0,44.5,13.5,14
Ocean,Species_6,34.5,32.2,5.5,7
Ocean,Species_5,42.0,40.4,8.558,38
Creek,Species_5,58.0,53.5,24.0,46
Ocean,Species_5,47.8,46.0,16.5,39
Creek,Species_5,52.1,47.4,15.0,49
Ocean,Species_6,37.8,35.3,6.0,37
Ocean,Species_5,41.1,40.6,9.168000000000001,19
Ocean,Species_6,30.4,27.5,2.9,44
Ocean,Species_5,70.3,64.9,34.160000000000004,44
Ocean,Species_6,36.37,33.43,4.99,10
Creek,Species_5,40.1,39.4,7.35,46
Creek,Species_5,47.07,45.23,13.5,28
Ocean,Species_5,35.0,34.0,6.337999999999999,42
Creek,Species_6,31.4,28.6,3.6,45
Creek,Species_5,43.5,43.4,8.95,5
Ocean,Species_5,36.4,36.2,5.54,16
Ocean,Species_5,47.7,43.2,13.062000000000001,26
Creek,Species_5,51.0,47.9,15.825999999999999,19
Creek,Species_5,36.0,34.3,3.97,8
Ocean,Species_5,47.0,43.1,14.0,48
Ocean,Species_6,27.1,24.4,2.354,14
Creek,Species_5,55.5,50.5,20.189999999999998,14
Ocean,Species_5,42.1,44.3,9.294,36
Creek,Species_6,31.1,31.9,4.0,28
Creek,Species_6,30.1,28.9,4.5,30
Creek,Species_5,42.8,41.3,9.0,40
Creek,Species_5,46.6,46.3,13.1,49
Ocean,Species_5,42.0,40.0,9.5,14
Creek,Species_6,54.0,49.0,18.28,6
Creek,Species_5,45.2,41.8,11.5,3
Ocean,Species_6,40.3,38.5,9.18,3
Ocean,Species_5,35.8,34.5,5.6,2
Ocean,Species_5,38.57,35.47,7.37,4
Creek,Species_5,42.7,41.8,11.5,10
Creek,Species_5,41.4,37.6,8.4,35
Creek,Species_5,54.3,48.7,19.1,12
Ocean,Species_6,32.7,29.0,3.74,41
Creek,Species_6,37.4,35.1,6.46,51
Creek,Species_5,34.5,33.5,4.9,27
Creek,Species_6,32.2,29.0,3.51,12
Ocean,Species_5,41.0,39.1,7.62,24
Ocean,Species_5,38.8,38.03,7.31,30
Creek,Species_5,53.2,47.5,17.478,50
Ocean,Species_6,45.5,41.7,10.2,7
Ocean,Species_5,48.4,45.0,11.89,4
Creek,Species_5,40.1,38.1,8.5,37
Ocean,Species_6,52.5,47.4,16.25,4
Creek,Species_6,34.3,31.4,5.0,30
Creek,Species_6,33.6,32.2,4.2,38
Creek,Species_5,50.3,46.0,14.802000000000001,11
Creek,Species_5,35.7,33.6,5.5,39
Creek,Species_5,38.5,36.8,9.0,14
Creek,Species_5,53.3,47.2,15.5,41
Ocean,Species_6,47.4,41.7,10.15,5
Ocean,Species_6,32.7,30.7,3.0,23
Creek,Species_6,31.7,30.7,3.75,51
Ocean,Species_5,40.5,40.3,8.193999999999999,23
Ocean,Species_5,74.2,68.5,49.4,44
